label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
fall,29,69,150,144,fall (1).jpg,300,240
fall,106,93,123,61,fall (10).jpg,300,240
fall,74,84,179,114,fall (11).jpg,300,240
fall,93,55,199,156,fall (12).jpg,300,240
fall,22,53,114,104,fall (13).jpg,300,240
fall,91,49,119,94,fall (14).jpg,300,240
fall,8,48,275,173,fall (15).jpg,300,240
fall,27,82,273,119,fall (16).jpg,300,240
fall,59,37,235,154,fall (17).jpg,300,240
fall,110,110,81,55,fall (18).jpg,300,240
fall,23,113,262,111,fall (19).jpg,300,240
fall,86,39,82,91,fall (2).jpg,300,240
fall,68,95,119,124,fall (20).jpg,300,240
fall,44,114,155,39,fall (21).jpg,300,240
fall,29,50,204,136,fall (22).jpg,300,240
fall,88,134,130,85,fall (23).jpg,300,240
fall,97,50,152,96,fall (24).jpg,300,240
fall,85,36,144,56,fall (25).jpg,300,240
fall,18,134,133,106,fall (26).jpg,300,240
fall,3,136,286,102,fall (27).jpg,300,240
stand,131,9,62,118,fall (27).jpg,300,240
fall,10,57,290,152,fall (28).jpg,300,240
fall,29,125,172,55,fall (29).jpg,300,240
stand,33,27,59,180,fall (29).jpg,300,240
stand,134,30,48,177,fall (29).jpg,300,240
stand,178,28,35,166,fall (29).jpg,300,240
stand,223,14,49,192,fall (29).jpg,300,240
stand,94,18,31,103,fall (29).jpg,300,240
fall,50,15,230,223,fall (3).jpg,300,240
fall,34,18,221,204,fall (30).jpg,300,240
fall,71,35,213,169,fall (31).jpg,300,240
fall,14,54,151,82,fall (32).jpg,300,240
fall,61,139,91,100,fall (33).jpg,300,240
fall,4,65,151,72,fall (34).jpg,300,240
fall,142,23,158,210,fall (35).jpg,300,240
fall,18,33,260,193,fall (36).jpg,300,240
fall,95,65,98,109,fall (37).jpg,300,240
fall,129,50,113,127,fall (38).jpg,300,240
fall,153,26,141,108,fall (39).jpg,300,240
fall,2,38,94,92,fall (4).jpg,300,240
fall,158,52,142,141,fall (4).jpg,300,240
fall,129,182,139,56,fall (40).jpg,300,240
stand,85,89,32,119,fall (40).jpg,300,240
stand,131,85,37,108,fall (40).jpg,300,240
fall,4,66,204,163,fall (41).jpg,300,240
fall,75,47,217,122,fall (42).jpg,300,240
fall,100,71,150,107,fall (43).jpg,300,240
fall,5,3,295,133,fall (44).jpg,300,240
fall,60,84,75,53,fall (45).jpg,300,240
fall,177,57,85,93,fall (45).jpg,300,240
fall,5,1,250,189,fall (46).jpg,300,240
fall,10,136,188,104,fall (47).jpg,300,240
fall,4,38,237,184,fall (48).jpg,300,240
fall,88,89,212,133,fall (49).jpg,300,240
fall,119,164,96,42,fall (5).jpg,300,240
fall,4,3,196,196,fall (50).jpg,300,240
fall,137,1,111,189,fall (51).jpg,300,240
fall,7,1,254,144,fall (52).jpg,300,240
fall,66,69,186,134,fall (53).jpg,300,240
fall,46,71,239,104,fall (54).jpg,300,240
fall,122,132,101,99,fall (55).jpg,300,240
stand,95,1,67,225,fall (55).jpg,300,240
stand,178,6,60,206,fall (55).jpg,300,240
fall,127,86,85,89,fall (56).jpg,300,240
fall,115,117,63,101,fall (57).jpg,300,240
fall,8,14,214,178,fall (58).jpg,300,240
fall,62,130,143,84,fall (59).jpg,300,240
fall,38,79,199,139,fall (6).jpg,300,240
fall,49,101,175,87,fall (60).jpg,300,240
fall,19,93,259,76,fall (9).jpg,300,240
fall,25,47,217,105,fall (7).jpg,300,240
fall,16,13,283,125,fall (8).jpg,300,240
